Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"Entenbrust (mit Haut)";100g;227;18.1;17.2;0;0;;200;;Fleisch&Wurst;"Reich an Eisen";24;0.17;0.24;4.8;1.1;0.35;3.5;8;3;;0.2;0.7;3;11;65;2.4;0.02;240;0.24;19;0.02;60;180;210;1.9;N;N;J;J;J;J;J;J
"Entenkeule (mit Haut)";100g;220;19;15;0;0;;200;;Fleisch&Wurst;"Werte können je nach Zubereitungsart variieren. Angabe bezieht sich auf den rohen Zustand.";40;0.18;0.24;4.5;1.1;0.3;4;8;0.4;;0.1;0.7;3;11;70;2.4;0.02;240;0.25;19;0.02;80;170;210;2.2;N;N;J;J;J;J;J;J
"Entrecôte (Rind)";100g;230;20.5;16.5;0;0;;200;;Fleisch&Wurst;"Werte können je nach Fettmarmorierung variieren. Rohzustand.";4;0.07;0.18;5.2;0.5;0.4;3;8;2.1;;0.1;0.2;2;6;60;2.1;0.02;330;0.1;22;0.01;55;185;210;4.4;N;N;J;J;J;J;J;J
"Erdbeeren";100g;32;0.8;0.4;5.5;2;25;150;;Obst;"Frisch, roh. Hoher Vitamin C Gehalt.";4;0.03;0.06;0.4;0.34;0.06;1;43;;59;;0.1;13;25;15;0.6;0.012;150;0.06;15;0.3;3;25;14;0.1;J;J;N;N;N;J;J;N
"Erdnüsse";100g;567;25.8;49.2;16.1;8.5;15;30;;Nüsse&Samen;"Werte beziehen sich auf geröstete, ungesalzene Erdnüsse. Botanisch gesehen sind es Hülsenfrüchte.";;0.6;0.1;12.1;1.8;0.3;100;240;;;;8.3;;92;7;4.6;0.1;705;1.1;168;1.9;18;376;230;3.3;J;J;N;J;N;J;J;J
"Erdnussöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Hoher Rauchpunkt, gut zum Braten geeignet. Reich an ungesättigten Fettsäuren.";;;;;;;;;;;;15.7;0.7;;;;;;;;;;;;0.01;J;J;J;N;J;J;J;J
"Fanta";100ml;38;0;0;9.1;0;70;250;100;Getränke;"Werte können je nach Region und Zuckergehalt (Classic vs. Zero) variieren. Hier für die Standard-Version.";;;;;;;;;;2;;;;2;2;0.02;0.01;3;0.01;1;0.01;10;;1;0.01;J;J;N;N;N;J;J;N
"Fassbrause";100ml;42;0.1;0;10.2;0;70;330;100;Getränke;"Werte können je nach Geschmacksrichtung und Hersteller variieren. Durchschnittswerte für klassische Fassbrause.";;0.01;0.01;0.1;0.05;0.01;;1;;1;;;;2;2;0.01;0.01;5;0.01;2;0.01;5;2;1;0.01;J;J;N;N;N;J;J;N
"Feige (frisch)";100g;63;1.3;0.5;12.9;2;35;50;;Obst;"Frische Feigen sind reich an Ballaststoffen und Kalium.";4;0.06;0.05;0.4;0.3;0.1;0.5;8;;2;;0.3;4.7;54;18;0.6;0.04;248;0.07;20;0.1;2;32;13;0.1;J;J;N;N;N;J;J;N
"Feldsalat";100g;14;1.8;0.4;0.7;1.5;15;100;;Gemüse;"Reich an Vitamin C";650;0.07;0.08;0.4;0.25;0.25;1;145;;35;;1;250;35;40;2;0.01;450;0.1;13;0.3;4;49;15;0.4;J;J;J;N;J;J;J;J
"Fenchel";100g;19;1.1;0.2;2.8;3.3;15;150;;Gemüse;"Frischer Fenchel (Knolle)";45;0.04;0.05;0.6;0.25;0.1;1.5;100;;28;;0.6;60;109;45;2.7;0.01;494;0.1;49;0.2;86;51;14;0.4;J;J;J;N;J;J;J;J
"Feta 45 %";100g;264;17.5;21.3;0.5;0;;30;;Käse;"Traditioneller Schafskäse (evtl. mit Ziegenmilch-Anteil). Hoher Natriumgehalt durch Salzlake.";220;0.04;0.21;0.2;0.4;0.07;1.5;32;1.1;;0.3;0.3;1.8;437;1200;0.2;0.04;80;0.03;19;0.02;1140;337;240;2.1;N;J;J;J;J;J;N;J
"Fleischwurst";100g;286;11.5;26.5;0.5;0;;30;;Fleisch&Wurst;"Durchschnittswerte für Brühwurst nach Art einer Fleischwurst oder Lyoner.";2;0.15;0.18;4.5;0.5;0.2;1.5;5;1.2;;0.4;0.2;2;12;1200;1.4;0.04;220;0.08;15;0.02;900;180;140;2.2;N;N;J;N;J;J;J;J
"Frankfurter Würstchen";100g;287;12;26;1;0;;100;;Fleisch&Wurst;"Enthält Nitritpökelsalz";;0.1;0.1;3.5;0.3;0.2;;3;0.0005;;;0.2;10;15;1450;1.5;;220;0.05;15;0.01;900;180;;2.4;N;N;J;J;J;J;J;J
"Flussbarsch";100g;91;19.4;0.9;0;0;;150;;Fisch&Meeresfrüchte;"Frischwasser-Speisefisch, mageres Fleisch";6;0.08;0.12;2.1;0.6;0.15;3;5;1.9;1;1.3;0.7;1;80;80;0.9;0.03;330;0.04;30;0.02;65;200;210;0.8;N;N;J;J;J;J;J;J
"Frischkäse 0,2 %";100g;63;11;0.2;3.9;0;30;30;;Milchprodukte;"Magerstufe, hoher Proteingehalt";2;0.03;0.18;0.1;0.4;0.04;1.5;12;0.4;;0.01;0.01;0.1;110;120;0.1;0.02;145;0.02;12;0.01;100;120;25;0.4;N;J;N;J;N;J;N;J
"Frischkäse 20 %";100g;183;8.5;15;3.6;0;;30;;Käse;"Werte variieren je nach Hersteller";0.15;150;0.03;0.18;0.1;0.5;0.04;1.5;15;0.4;0.0002;0.1;0.3;1;80;210;0.1;0.02;120;0.02;10;0.01;250;110;15;N;J;N;N;N;J;N;J
"Frischkäse 60 %";100g;265;6.5;25.5;3.2;0;;30;;Milchprodukte;"Fettgehalt absolut ca. 25-26% bei dieser Stufe";280;0.03;0.18;0.1;0.3;0.04;1.5;15;0.4;;0.2;0.5;2;80;180;0.1;0.02;110;0.02;10;0.01;300;120;25;0.4;N;J;N;N;N;J;N;J
"Fritz-Kola";100ml;42;0;0;11;0;65;330;100;Getränke;"Enthält Koffein (25mg/100ml)";;;;;;;;;;;;;;2;;0.1;;1;;1;;2;1;;0.01;J;J;N;N;N;J;J;N
"Fritz-Limo";100ml;42;0.1;0.1;10.2;0.1;70;330;100;Getränke;"Durchschnittswerte für Orangen-Limonade. Enthält ca. 10.5% Fruchtanteil.";2;0.01;0.01;0.1;0.05;0.01;;1;;5;;0.1;;2;;0.1;;5;;1;;5;1;;;J;J;N;N;N;J;J;N
"Frühkartoffeln";100g;71;2;0.1;14.8;1.6;70;200;;Gemüse;"Frisch geerntete Kartoffeln mit dünner Schale. Höherer Vitamin-C-Gehalt als Lagerkartoffeln.";1;0.11;0.05;1.2;0.4;0.3;0.1;20;;17;;0.1;4;6;45;0.7;0.01;418;0.1;20;0.14;3;50;14;0.3;J;J;N;N;N;J;J;N
"Frühstücksfleisch";100g;264;14.5;22;1;0;;30;;Fleisch&Wurst;"Dosenfleisch, oft gepökelt und zerkleinert. Hoher Salzgehalt.";;0.3;0.15;3.8;;0.2;;;0.8;;0.4;0.2;;10;1450;1.8;;280;0.1;15;;960;180;;2.5;N;N;J;N;J;J;J;J
"Garnele (Shrimps)";100g;92;20.1;1.4;0;0;;150;;Fisch&Meeresfrüchte;"Werte für gegarte Garnelen ohne Schale. Reich an Jod und Selen.";20;0.03;0.03;2.5;0.3;0.06;1;8;1.5;2;0.2;1.2;0.1;92;230;1.8;0.04;180;0.25;38;0.04;150;215;240;1.4;N;N;J;J;J;J;J;J
"Gänsekeule";100g;236;20.5;17.1;0;0;;300;;Fleisch&Wurst;"Werte gelten für Fleisch mit Haut, gegart. Rohwerte können abweichen.";25;0.09;0.24;4.1;0.9;0.35;4;8;0.4;;0.2;0.5;4;12;80;2.4;0.02;295;0.2;22;0.02;70;190;210;2.4;N;N;J;J;J;J;J;J
"Gänsebrust (mit Haut)";100g;349;16.8;31.3;0;0;;150;;Fleisch&Wurst;"Gebratene Gans mit Haut, hoher Fettgehalt.";45;0.08;0.21;4.8;0.7;0.28;3.5;7;0.4;;0.2;0.5;3;12;65;2.9;0.02;252;0.25;19;0.02;62;168;210;1.9;N;N;J;J;J;J;J;J
"Geflügelsalami";100g;345;17.2;30.5;1;0;;20;;Fleisch&Wurst;"Werte können je nach Fettgehalt und Sorte leicht variieren. Geflügelsalami ist meist etwas magerer als klassische Schweinesalami.";;0.2;0.15;5.2;;0.3;;;1.2;;;0.2;1;15;1850;2.1;;330;;22;;1200;210;;2.4;N;N;J;J;J;J;J;J
"Gelbwurst";100g;312;10.5;30.1;0.5;0;;30;;Fleisch&Wurst;"Bayerische Brühwurstspezialität, meist ohne Knoblauch und Farbstoffe hergestellt.";;0.1;0.15;3.2;;0.2;;5;;;;;;15;1000;1.4;;220;;15;;850;180;;2.1;N;N;J;N;J;J;J;J
"Gemüsebrühe";100ml;4;0.2;0.1;0.6;0;;250;100;Sonstiges;"Werte beziehen sich auf zubereitete Brühe. Je nach Hersteller variiert der Salzgehalt stark.";;;;0.02;0.01;0.01;;1;;0.1;;;0.1;2;280;0.02;0.01;25;0.01;1;0.01;380;2;1;0.02;J;J;J;N;J;J;J;J
"Ginger Ale";100ml;37;0;0;9;0;65;250;100;Getränke;"Durchschnittswerte für klassisches Ginger Ale. Kann je nach Hersteller variieren.";;;;0.01;0.01;0.01;;;;;;;;2;2;0.02;0.01;3;0.01;1;0.01;5;1;1;0.01;J;J;N;N;N;J;J;N
"Gemüsezwiebeln";100g;28;1.1;0.2;4.9;1.4;15;150;;Gemüse;"Mildere und größere Variante der herkömmlichen Speisezwiebel.";2;0.03;0.02;0.2;0.1;0.1;0.5;20;;7;;0.1;1;25;20;0.2;0.01;160;0.05;10;0.1;4;30;50;0.1;J;J;J;N;N;J;J;N
"Gorgonzola 48 %";100g;350;24;28;0.7;0;;30;;Käse;"Edelpilzkäse aus Kuhmilch. Fettgehalt ca. 28g absolut bei 48% Fett i. Tr.";280;0.03;0.4;0.1;0.3;0.05;;25;1.2;;0.2;0.6;;610;1000;0.2;;120;0.02;25;;1000;450;;3.5;N;J;J;J;J;J;N;J
"Gouda 30 %";100g;265;28.5;16.5;0;0;;30;;Käse;"Fettgehalt bezieht sich auf die Trockenmasse";;220;0.03;0.3;0.1;0.35;0.06;2.5;25;2.1;;0.25;0.3;3;900;1200;0.5;0.04;90;0.03;35;0.01;750;600;240;N;J;J;J;J;J;J;J
"Gouda 45 %";100g;356;22.7;30.8;0;0;;30;;Käse;"Durchschnittswerte für mittelalten Gouda";280;0.03;0.3;0.1;0.3;0.08;3;20;2.1;;0.3;0.6;3;700;1000;0.5;0.05;80;0.02;28;0.02;700;500;240;3.9;N;J;J;J;J;J;J;J
